feature,importance
Torque [Nm],0.311136945851938
Rotational speed [rpm],0.30027965224217895
Tool wear [min],0.20175480131134046
Air temperature [K],0.10055993704607133
Process temperature [K],0.06649770996579281
Type_L,0.009367775154602692
Type_M,0.006732366133281332
Type_H,0.0036708122947944886
